id,Label,total_relevance,pageviews
3378,Lev Russov,52,389
3379,Prime Minister of Russia,52,16435
3380,Mikhail Bakunin,50,18792
3381,Tsarist autocracy,49,7720
3382,Winter Palace,49,22456
3383,Russo-Turkish War (1806?1812),49,2530
3384,Russo-Turkish War (1806â12),49,985
3385,Manchukuo,49,36128
3386,February Revolution,48,27571
3387,Leninism,48,28150
3388,Wilt Chamberlain,48,205391
3389,Russian constitution,48,6439
3390,Federal subjects of Russia,48,28482
3391,Caucasian War,47,5265
3392,Princess Victoria Melita of Saxe-Coburg and Gotha,47,9217
3393,Anna of Russia,47,13089
3394,Russian River (California),46,6817
3395,Duchy of Warsaw,46,8515
3396,Russian Revival,46,819
3397,Grand Duchy of Posen,46,2446
3398,Russian Dalian,46,975
3399,Maxim Litvinov,46,4190
3400,Russia Day,46,3304
3401,First Afghan War,46,277
3402,Languages of Russia,45,12349
3403,Apollon Maykov,45,392
3404,Union State,45,9799
3405,Peter III of Russia,44,30475
3406,Arctic window,44,32
3407,Health care in Russia,44,6211
3408,Red Square,44,28420
3409,Treaties of Tilsit,43,4618
3410,Treaty of Tilsit,43,753
3411,Federal Agency for Tourism (Russia),43,368
3412,Education in Russia,43,10181
3413,Great Northern War plague outbreak,43,1354
3414,Anna Karenina,43,69007
3415,Russian conquest of Siberia,43,7609
3416,Lermontov,42,367
3417,Grande ArmÃ©e,42,14115
3418,Mikhail Lermontov,42,7769
3419,Baltic Germans,42,8793
3420,Second Partition of Poland,42,2704
3421,Karl Marx,42,271414
3422,Narodniks,41,3216
3423,Russo-Persian War (1722â1723),41,1115
3424,Aleksandr Kuprin,41,1399
3425,Narodnik,41,845
3426,Elections in Russia,40,6930
3427,Neo-Byzantine architecture in the Russian Empire,40,1119
3428,Triple Entente,40,40049
3429,Maria Theresa,40,42051
3430,Russian tea culture,40,4005
3431,Alexander Pushkin,40,41513
3432,Nivkhs,40,621
3433,Leo Tolstoy,40,103023
